35.812	6.705	14.371	-129,6
36.484	6.072	13.986	-87,5
37.155	5.439	13.601	-62,8
37.827	4.806	13.216	-44,6
38.498	4.173	12.831	-30,5
39.170	3.539	12.447	-19,8
39.841	2.906	12.062	-13,2
40.513	2.273	11.677	-9,4
41.184	1.640	11.292	-6,6
36.793	7.262	15.173	-4,7
37.432	6.608	14.768	-108,3
38.071	5.954	14.363	-84,5
38.710	5.300	13.958	-61,4
39.349	4.646	13.553	-44,6
39.987	3.992	13.148	-31,2
40.626	3.338	12.743	-23,2
41.265	2.683	12.338	-15,4
41.904	2.029	11.932	-10,3
37.189	6.873	16.432	-8,1
37.860	6.249	16.031	-5,9
38.530	5.625	15.630	-119,7
39.200	5.000	15.229	-86
39.870	4.376	14.828	-60,7
40.541	3.752	14.426	-41,5
41.211	3.128	14.025	-27,5
41.881	2.503	13.624	-23,64134
42.552	1.879	13.223	-19,84727
37.380	6.597	18.897	-14,74668
37.772	5.687	19.034	-11,31511
38.165	4.778	19.170	-7,90022
38.557	3.868	19.307	-115,2
38.949	2.959	19.444	-85,5
39.342	2.049	19.581	-59,1
39.734	1.139	19.718	-37,9
40.126	0.230	19.855	-21,4
40.519	-0.680	19.992	-22,37413
38.695	7.165	18.501	-18,69065
39.120	6.268	18.622	-14,62595
39.546	5.371	18.743	-11,0773
39.972	4.475	18.864	-7,91195
40.397	3.578	18.985	-112,4
40.823	2.681	19.106	-88,5
41.248	1.784	19.228	-54,6
41.674	0.888	19.349	-32,78537
42.100	-0.009	19.470	-20,17268
39.483	7.625	19.448	-17,85562
39.853	6.705	19.577	-14,0726
40.222	5.784	19.705	-11,50442
40.592	4.864	19.833	-8,70183
40.961	3.944	19.961	-6,39323
41.331	3.023	20.089	-70,5
41.700	2.103	20.218	-46,2
42.070	1.183	20.346	-31,4
42.439	0.262	20.474	-20,4
40.774	8.086	18.956	-14,6
41.166	7.176	19.093	-9,7
41.558	6.266	19.230	-6,9
41.950	5.357	19.367	-5,4
42.342	4.447	19.504	-4,6
42.733	3.537	19.642	-3,3
43.125	2.627	19.779	-17,3
43.517	1.718	19.916	-11,7
43.909	0.808	20.053	-10
41.780	8.621	19.730	-6,8
42.155	7.705	19.876	-3,4
42.530	6.790	20.022	-3,1
42.906	5.875	20.167	-2,2
43.281	4.959	20.313	-2,1
43.656	4.044	20.459	-2,2
44.032	3.129	20.604	-1,8
44.407	2.213	20.750	36,7
44.782	1.298	20.896	28
43.038	9.072	19.344	19,4
43.410	8.155	19.486	16,2
43.782	7.237	19.628	10,7
44.155	6.320	19.769	10,6
44.527	5.403	19.911	7,3
44.900	4.486	20.053	4,7
45.272	3.569	20.194	4
45.644	2.651	20.336	3,5
46.017	1.734	20.478	85,4
43.746	9.148	18.172	60,5
44.138	8.243	18.339	41,4
44.529	7.338	18.507	29,4
44.920	6.433	18.675	22
45.311	5.529	18.842	16,7
45.702	4.624	19.010	13,3
46.094	3.719	19.178	9,8
46.485	2.814	19.345	7,7
46.876	1.909	19.513	4,7
45.027	9.678	18.115	102,7
45.411	8.768	18.269	80,1
45.795	7.858	18.424	58,8
46.179	6.947	18.579	42,5
46.563	6.037	18.734	31,3
46.947	5.127	18.888	23,8
47.331	4.216	19.043	18,6
47.715	3.306	19.198	15,2
48.098	2.396	19.353	10,7
45.866	9.838	17.069	10,5
46.259	8.935	17.246	95,2
46.652	8.033	17.422	89,1
47.045	7.131	17.599	64,7
47.438	6.228	17.776	47,3
47.831	5.326	17.952	34,3
48.224	4.423	18.129	27,1
48.617	3.521	18.306	21,5
49.010	2.619	18.482	17,9
47.062	10.351	17.095	12,7
47.444	9.444	17.272	9,3
47.826	8.537	17.450	88,3
48.208	7.630	17.628	80,8
48.590	6.723	17.805	64,71012
48.972	5.816	17.983	53,2
49.354	4.909	18.160	42,1
49.736	4.002	18.338	31,8
50.118	3.095	18.515	25,9
47.910	10.627	16.642	20,1
48.292	9.720	16.819	16,4
48.674	8.813	16.997	12,4
49.056	7.906	17.175	76,70263
49.438	6.999	17.352	70,76565
49.820	6.092	17.530	59,34519
50.202	5.185	17.707	52,6
50.584	4.278	17.885	41,7
50.966	3.371	18.062	32,9
